개소,공원종류,권역,공원명,위치,조성연도,  조성면적  ,관리기관,관리자 연락처,데이터기준일자
382,근린공원,서부,마도 근린공원,마도면 쌍송리 673 일원,2005,21551 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
383,근린공원,서부,송산3.1기념공원,"송산면 사강리 557-1,562-1,562-2,558-4,558-6,299-3,299-4",2007,9574 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
384,근린공원,비봉,신남근린공원,남양읍 신남리 산64-3번지 일원,2023,28957 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
385,근린공원,서부,전곡2호 근린공원,서신면 전곡리 800,1998,3728 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
386,근린공원,서부,전곡공원1호,장외리 642,2015,41952 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
387,근린공원,서부,전곡공원4호,"장외리 631,628",2015,14991 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
388,어린이공원,비봉,10호어린이 살랑살랑 어린이공원,남양리 2157,2019,1610 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
389,어린이공원,비봉,1호 어린이공원,남양읍 남양리 2015,2011,1500 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
390,어린이공원,비봉,1호 어린이공원(맑은가람공원),새솔동 165,2021,2922 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
391,어린이공원,비봉,1호어린이 파릇파릇 어린이공원,남양리 2203,2019,1573 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
392,어린이공원,비봉,2호 어린이공원,남양읍 남양리 2036,2011,2310 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
393,어린이공원,비봉,2호 어린이공원(새버들공원),새솔동 146,2021,1608 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
394,어린이공원,비봉,2호어린이 꿈틀꿈틀 놀이터,남양리 2211-1,2019,1590 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
395,어린이공원,비봉,3호 어린이공원,남양읍 남양리 2042,2011,1504 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
396,어린이공원,비봉,3호 어린이공원(가온공원),새솔동 114,2020,5071 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
397,어린이공원,비봉,3호어린이 산들산들 어린이공원,남양리 2220,2019,1680 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
398,어린이공원,비봉,4호 어린이공원,남양읍 남양리 2066,2011,1515 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
399,어린이공원,비봉,4호 어린이공원(해오름공원),새솔동 15,2018,4944 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
400,어린이공원,비봉,4호어린이 풍덩풍덩 어린이공원,남양리 2234,2019,1758 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
401,어린이공원,비봉,5호 어린이공원,납양읍 남양리 2053,2011,1499 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
402,어린이공원,비봉,5호 어린이공원(누리봄공원),새솔동 72,2021,1656 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
403,어린이공원,비봉,5호어린이 첨벙첨벙 어린이공원,남양리 2276,2019,3555 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
404,어린이공원,비봉,6호 어린이공원(도담공원),새솔동 48,2021,2444 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
405,어린이공원,비봉,6호어린이 질퍽질퍽 어린이공원,남양리 2250,2019,1541 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
406,어린이공원,비봉,7호어린이 용알 어린이공원,남양리 2286,2019,2695 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
407,어린이공원,비봉,8호어린이 방울방울 어린이공원,남양리 2301,2019,1503 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
408,어린이공원,비봉,9호어린이 반짝반짝 어린이공원,남양리 2313,2019,2986 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
409,어린이공원,서부,전곡1호 어린이공원,서신면 전곡리 1052,1998,924 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
410,어린이공원,서부,전곡3호 어린이공원,서신면 전곡리 867,1998,930 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
411,어린이공원,서부,전곡4호 어린이공원,서신면 전곡리 920,1998,1390 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
412,소공원,비봉,소공원1호,남양리 2264,2019,260 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
413,소공원,비봉,소공원2호,남양리 2271-1,2019,464 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
414,소공원,서부,소공원8호,송산면 지화리 684,2021,366 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
415,소공원,서부,소공원9호,송산면 중송리 578-1,2021,2000 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
416,소공원,비봉,양노리소공원,비봉면 양노리 738-54,2014,301 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
417,소공원,비봉,우림아파트소공원,남양읍 남양리 1865-19,2008,1600 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
418,소공원,서부,전곡공원2,전곡리 1097,2015,8154 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
419,소공원,서부,전곡공원5,전곡리 1091-4,2015,516 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
420,체육공원,비봉,1호 체육 푸른건강 뜰,"남양리 2236, 2237",2019,64136 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
421,체육공원,비봉,2호 체육공원(봉선체육공원),새솔동 126,2018,36254 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
422,체육공원,서부,경기화성바이오밸리 2호 체육공원,마도면 청원리 1512일원,2017,24595 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
423,체육공원,비봉,매송체육공원,"매송면 원평리 579,580",2016,16250 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
424,체육공원,비봉,비봉체육공원,"새솔동167, 168",2018,177737 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
425,체육공원,서부,전곡공원3호,전곡리 1112,2015,11790 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
426,문화공원,서부,문화공원1호,송산면 지화리 682,2021,803 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
427,문화공원,서부,문화공원2호,송산면 지화리 690,2021,774 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
428,문화공원,서부,문화공원3호,송산면 지화리 682-11,2021,491 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
429,문화공원,서부,문화공원4호,송산면 지화리 692,2021,732 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
430,문화공원,서부,문화공원5호,송산면 지화리 683-5,2021,1776 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
431,문화공원,서부,문화공원6호,송산면 중송리 575,2021,964 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
432,문화공원,서부,문화공원7호,송산면 지화리 685-5,2021,668 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
433,수변공원,서부,1호 수변공원,송산면 중송리 582번지 일원,2021,24897 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
434,수변공원,서부,경기화성바이오밸리 3호 수변공원,"마도면 청원리 1508,9,12,13,14,15,1511일원",2017,186632 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
435,쌈지공원,비봉,구포리 소공원,비봉면 구포리 63-4일원,2008,2900 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
436,쌈지공원,비봉,남양 비석공원,남양읍 남양리 1868일월,2004,4268 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
437,쌈지공원,비봉,남양천 소공원,남양읍 남양리 1865-21,2008,848 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
438,쌈지공원,서부,마도 쌈지공원,마도면 석교리 243-24,2022,809 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
439,쌈지공원,비봉,매송 쌈지공원(천천리 어린이놀이터),매송면 천천리 185-1,2018,800 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
440,쌈지공원,비봉,매송 원평리 쌈지공원,매송면 원평리 141-2,2022,329 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
441,쌈지공원,서부,매화 쌈지공원,서신면 매화리 292-2일원,2014,942 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
442,쌈지공원,서부,바다뜰 쌈지공원,서신면 매화리 214-4,2020,743 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
443,쌈지공원,비봉,벌터 쌈지공원,매송면 원평리 537-2 일원,2020,1157 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
444,쌈지공원,비봉,비봉 쌈지공원(1),비봉면 구포리 산6-22,2014,1167 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
445,쌈지공원,비봉,비봉 쌈지공원(2),비봉면 양노리 180-9,2019,569 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
446,쌈지공원,비봉,비봉 쌈지공원(3),비봉면 양노리 705-4,2019,774 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
447,쌈지공원,서부,송산 쌈지공원,송산면 독지리 173-2,2013,1280 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
448,쌈지공원,비봉,어천저수지 쌈지공원,"매송면 원평리 208, 208-1, 208-2",2020,2000 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
449,쌈지공원,서부,제부도 쌈지공원,"서신면 제부리 40-37일원,42-28일원",2004,6459 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
450,쌈지공원,비봉,천천리 가로공원,매송면 천천리 91-3일원,2006,2910 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
451,쌈지공원,비봉,한가울 쌈지공원,남양리 727-1,2020,219 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
452,공공공지,비봉,공공공지1호,남양리 2320-6,2019,1855 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
453,공공공지,비봉,공공공지2호,남양리 2322-1,2019,1199 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
454,공공공지,비봉,송산그린시티 공공공지 1,새솔동 99-7,2020,39 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
455,공공공지,비봉,송산그린시티 공공공지 10,새솔동 123-3,2021,1129 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
456,공공공지,비봉,송산그린시티 공공공지 2,새솔동 101-1,2020,334 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
457,공공공지,비봉,송산그린시티 공공공지 3,새솔동 51-16,2020,120 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
458,공공공지,비봉,송산그린시티 공공공지 4,새솔동 52-6,2020,616 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
459,공공공지,비봉,송산그린시티 공공공지 5,새솔동 58-6,2020,568 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
460,공공공지,비봉,송산그린시티 공공공지 6,새솔동 54-1,2020,129 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
461,공공공지,비봉,송산그린시티 공공공지 7,새솔동 57-18,2020,755 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
462,공공공지,비봉,송산그린시티 공공공지 8,새솔동 57-6,2020,746 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
463,공공공지,비봉,송산그린시티 공공공지 9,새솔동 60-1,2020,126 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
464,공공공지,서부,전곡리 공공공지,전곡리 1091-5,2015,416 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
465,공공공지,서부,황금해안길 제부교차로,서신면 송교리 380,2018,181 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
466,광장,비봉,경관광장 1,새솔동 84-10,2020,126 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
467,광장,비봉,경관광장 2,새솔동 85-15,2020,136 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
468,광장,비봉,경관광장 3,새솔동 89-14,2020,135 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
469,광장,비봉,경관광장 4,새솔동 88-14,2020,135 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
470,광장,비봉,경관광장 5,새솔동 57-12,2020,536 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
471,광장,비봉,광장1호,남양리 2232-7,2019,1304 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
472,광장,비봉,광장2호,남양리 2231,2019,1286 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
473,광장,비봉,광장3호,남양리 2323-1,2019,3751 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
474,광장,비봉,광장4호,남양리 2273-1,2019,579 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
475,광장,서부,매바위광장,서신면 제부리 190-223 일원,2019,3624 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
476,광장,비봉,일반광장 1호(한우리광장),새솔동 136-3,2021,781 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
477,광장,서부,전곡일반광장,서신면 전곡리 1090,2015,1981 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
478,근린공원,중부, 정남산단 1호 근린공원,정남면 음양리 884,2021,7176 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
479,근린공원,중부,동화마을 생태공원,"봉담읍 동화리 573, 587일원",2008,161978 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
480,근린공원,중부,들녘오름공원(2호 근린),봉담읍 수영리 698,2019,29040 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
481,근린공원,중부,봉담호수공원,봉담읍 상리 22-10일원,2007,19282 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
482,근린공원,중부,삼봉근린공원(1호 근린),봉담읍 상리 713,2019,32227 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
483,근린공원,중부,현충공원,송산동 224 일원,2018,17391 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
484,어린이공원,중부,광도아파트 어린이공원,기안동 329-5 일원,2003,1578 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
485,어린이공원,중부,나눔 어린이공원,기안동 915,2004,3673 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
486,어린이공원,중부,달그림자공원(2호),봉담읍 동화리 578,2008,3037 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
487,어린이공원,중부,도란도란 어린이공원,봉담읍 상리 654-1,2019,1907 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
488,어린이공원,중부,도토리공원,봉담읍 동화리 227,2023,1720 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
489,어린이공원,중부,동화어린이공원,봉담읍 동화리 613,2008,3539 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
490,어린이공원,중부,무럭무럭 어린이공원,봉담읍 수영리 690-1,2019,1823 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
491,어린이공원,중부,미로 어린이공원,기안동 914,2004,2540 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
492,어린이공원,중부,별향 어린이공원,기안동 916,2004,4342 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
493,어린이공원,중부,봉담상리 어린이공원,봉담읍 상리 619,2007,1901 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
494,어린이공원,중부,봉담수영 어린이공원,봉담읍 수영리 406-6,2007,2284 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
495,어린이공원,중부,봉담아이파크 어린이공원(하늘공원),봉담읍 와우리 590-1,2009,1501 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
496,어린이공원,중부,봉담호수 어린이공원,봉담읍 상리 22-76일원 (상리 22-13),2008,3120 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
497,어린이공원,중부,산새들공원(4호),봉담읍 동화리 605,2008,3654 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
498,어린이공원,중부,새싹 어린이공원,기안동 426-7번지,2022,2052 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
499,어린이공원,중부,서작현 어린이공원,송산동 155-27 일원,2005,2300 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
500,어린이공원,중부,솔뫼 어린이공원(안녕나들공원),안녕동 213,2006,1555 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
501,어린이공원,중부,솔빛 어린이공원,기안동 918,2004,1068 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
502,어린이공원,중부,솔향기공원(5호),봉담읍 동화리 633,2008,3380 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
503,어린이공원,중부,수국 어린이공원,기안동 903,2004,1070 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
504,어린이공원,중부,야생초 어린이공원,기안동 896,2004,3514 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
505,어린이공원,중부,오순도순 어린이공원(봉담1호 어린이),"봉담읍 수영리 650-68일원, 650-26일원",2003,1200 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
506,어린이공원,중부,와우남촌 어린이공원,봉담읍 와우리 52-5일원,2005,1477 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
507,어린이공원,중부,피아노숲공원(1호),봉담읍 동화리 565,2008,2114 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
508,어린이공원,중부,하늘하늘 어린이공원,봉담읍 상리 632-10,2019,1499 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
509,어린이공원,중부,한솔 어린이공원(1호 어린이공원),송산동 256-1,2022,1502 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
510,어린이공원,중부,한울1호공원,봉담읍 수영리 672-3,2008,3150 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
511,어린이공원,중부,한울2-1호공원,"봉담읍 수영리 676, 677",2008,3982 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
512,어린이공원,중부,한울2호공원,봉담읍 수영리 673-2,2008,1500 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
513,어린이공원,중부,한울3호 어린이공원,봉담읍 수영리 680,2017,2983 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
514,어린이공원,중부,해피트리 어린이공원,기안동 917,2004,2231 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
515,소공원,중부,기안3 소공원,기안동 456-96번지,2022,850 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
516,소공원,중부,신동아파밀리에아파트 소공원,봉담읍 동화리 441-5 일원 ,2015,4529 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
517,소공원,중부,풀내읍 소공원,봉담읍 상리 627-11,2019,393 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
518,소공원,중부,해오름공원,봉담읍 와우리 215,2010,4571 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
519,체육공원,중부,생태체육공원,봉담읍 상리 716,2019,85608 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
520,문화공원,중부,어울림공원,봉담읍 상리 708,2019,17409 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
521,문화공원,중부,와우리 문화공원(코리요 문화공원),봉담읍 와우리 595,2016,4590 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
522,문화공원,중부,정남산단 1호 문화공원(미래공원),정남면 음양리 932,2021,2811 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
523,문화공원,중부,정남산단 2호 문화공원(고인돌공원),정남면 음양리 930,2021,2378 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
524,문화공원,중부,정남산단 3호 문화공원(씨앗공원),정남면 음양리 873,2021,2866 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
525,문화공원,중부,정남산단 4호 문화공원(나려공원),정남면 음양리 905,2021,504 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
526,문화공원,중부,정남산단 5호 문화공원(그린나래공원),정남면 음양리 954,2021,510 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
527,수변공원,중부,귀래생태공원,정남면 귀래리 100-1일원,2012,54000 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
528,수변공원,중부,물빛공원,와우리 134-2,2022,3659 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
529,수변공원,중부,안녕일 수변공원,안녕동 225,2017,6765 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
530,수변공원,중부,해담공원(1호 수변공원),"송산동 237-1,2,3, 안녕동 244-1,2,3",2022,10083 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
531,역사공원,중부,기배역사공원,기안동 457-543,2019,16078 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
532,역사공원,중부,정조효공원,안녕동 228,2022,122628 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
533,쌈지공원,중부,관항리 쌈지공원,정남면 관항리 144,2019,640 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
534,쌈지공원,중부,광도 쌈지공원,기안동 332-1,2015,30 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
535,쌈지공원,중부,괘랑리 쌈지공원,정남면 괘랑리 26-42,2019,553 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
536,쌈지공원,중부,남산공단 공영주차장 위 공원,안녕동 178-178,2006,2000 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
537,쌈지공원,중부,동문아파트 소공원,안녕동 71-780 일원,2007,2067 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
538,쌈지공원,중부,동화리 어린이놀이터(동화리 쌈지공원),동화리 562-15 일원,2018,127 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
539,쌈지공원,중부,보통리 쌈지공원,보통리 335-1번지 일원,2018,491 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
540,쌈지공원,중부,안녕동 쌈지공원(1),"안녕동 190-102, 103",2012,996 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
541,쌈지공원,중부,안녕동 쌈지공원(2),안녕동 190-77,2015,802 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
542,쌈지공원,중부,안녕동 쌈지공원(3),안녕동 119-4,2019,403 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
543,쌈지공원,중부,안녕동 쌈지공원(4),안녕동 71-651,2023,250 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
544,쌈지공원,중부,원송산 마을 쌈지공원(송산동 쌈지),송산동 202-9,2020,107 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
545,쌈지공원,중부,품못골저수지 쉼터,배양동 69-6 일원,2007,2400 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
546,쌈지공원,중부,협성대 앞 쌈지공원 ,봉담읍 상리 15-38,2010,268 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
547,쌈지공원,중부,황계공원,황계동 152-116,2017,540 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
548,경관광장,중부,봉담 보행자 도로 수경시설,봉담읍 동화리 601,,75 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
549,공공공지,중부,공공공지 2호,송산동 246-6,2022,359 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
550,공공공지,중부,공공공지 5호,송산동 256-2,2022,214 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
551,공공공지,중부,기안지구 공공공지,기안동 461-12번지(기안동941),2022,1540 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
552,공공공지,중부,동화리 공공공지 1호,봉담읍 동화리 301-13,2016,228 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
553,공공공지,중부,동화리 공공공지 2호,봉담읍 동화리 301-15,2016,602 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
554,공공공지,중부,동화리 공공공지 3호,봉담읍 동화리 305-6,2016,657 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
555,공공공지,중부,동화리 공공공지 4호,봉담읍 동화리 391,2016,209 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
556,공공공지,중부,동화리 공공공지 5호,봉담읍 동화리 397,2016,255 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
557,공공공지,중부,봉담2 공공공지 1호,봉담읍 상리 687-5,2019,718 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
558,공공공지,중부,봉담2 공공공지 2호,봉담읍 상리 688-3,2019,2005 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
559,공공공지,중부,수인선 수영 숲길(상부공원),봉담읍 수영리 412-1,2021,11134 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
560,공공공지,중부,정남산단 1호 공공공지,정남면 음양리 590,2021,134 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
561,공공공지,중부,정남산단 2호 공공공지,정남면 음양리 595,2021,137 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
562,공공공지,중부,정남산단 3호 공공공지,정남면 음양리 285,2021,124 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
563,공공공지,중부,정남산단 4호 공공공지,정남면 음양리 635,2021,125 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
564,공공공지,중부,한승미메이드 공공공지,송산동 164-21 일원,2008,853 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
565,광장,중부,1호 광장,안녕동 263-4,2022,2230 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
566,근린공원,남부,구문천 근린공원,향남읍 구문천리 929-18,2005,27795 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
567,근린공원,서부,쌍봉산 근린공원,우정읍 조암리 391-14일원,2007,37235 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
568,근린공원,남부,옴뿌리산 근린공원,향남읍 발안리 251,2003,2444 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
569,근린공원,서부,장안 1호근린공원,장안면 금의리 760-3 일원,2007,10847 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
570,근린공원,서부,장안근린공원 1호,장안면 수촌리 1466 일원,2010,9966 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
571,근린공원,서부,장안근린공원 2호,장안면 수촌리 1470-1 일원,2010,13464 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
572,근린공원,서부,조암1호 근린공원,우정읍 조암리 791-5 ,2009,12427 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
573,근린공원,남부,하길 근린공원,향남읍 하길리 1409-1 ,2005,30201 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
574,근린공원,남부,향남1지구 1호근린(용현공원),"향남읍 행정리 460,460-2",2009,18679 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
575,근린공원,남부,향남1지구 2호근린(평원공원),향남읍 행정리 444,2009,17954 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
576,근린공원,남부,향남1지구 3호근린(살구꽃공원),향남읍 행정리 490,2009,46749 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
577,근린공원,남부,향남1지구 4호근린(나래공원),향남읍 행정리 525,2009,43238 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
578,근린공원,남부,향남2지구 1호근린(해찬벌공원),향남읍 하길리 1446,2016,12040 ,화성도시공사 공원관리2부,031-8059-6433,2024-12-31
